genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
PEX10|NALD|PBD6A|PBD6B	PEX10|NA|NA|NA	PEX10	Peroxisome biogenesis disorder 6A (Zellweger)	None	602859	614870	1	NA
PRDM16|MEL1|LVNC8|CMD1LL	PRDM16|PRDM16|NA|NA	PRDM16	Left ventricular noncompaction 8	Autosomal dominant	605557	615373	1	NA
PRDM16|MEL1|LVNC8|CMD1LL	PRDM16|PRDM16|NA|NA	PRDM16	Cardiomyopathy, dilated, 1LL	Autosomal dominant	605557	615373	1	NA
TP73	TP73	TP73	?Neuroblastoma	None	601990	NA	1	imprinted
SMIM1|VEL	SMIM1|NA	SMIM1	Blood group, Vel system	Autosomal recessive	615242	615264	1	NA
CEP104|GLYBP|KIAA0562|JBTS25	CEP104|NA|CEP104|NA	CEP104	Joubert syndrome 25	Autosomal recessive	616690	616781	1	NA
DFNB96	DFNB96	DFNB96	Deafness, autosomal recessive 96	Autosomal recessive	614414	614414	1	between rs3817914 and rs477558
NPHP4|SLSN4	NPHP4|NPHP4	NPHP4	Senior-Loken syndrome 4	Autosomal recessive	607215	606996	1	NA
NPHP4|SLSN4	NPHP4|NPHP4	NPHP4	Nephronophthisis 4	Autosomal recessive	607215	606966	1	NA
ESPN	ESPN	ESPN	Deafness, autosomal recessive 36	None	606351	609006	1	NA
ESPN	ESPN	ESPN	Deafness, neurosensory, without vestibular involvement, autosomal dominant	None	606351	NA	1	NA
PLEKHG5|KIAA0720|DSMA4|CMTRIC	PLEKHG5|PLEKHG5|NA|NA	PLEKHG5	Spinal muscular atrophy, distal, autosomal recessive, 4	Autosomal recessive	611101	611067	1	NA
PLEKHG5|KIAA0720|DSMA4|CMTRIC	PLEKHG5|PLEKHG5|NA|NA	PLEKHG5	Charcot-Marie-Tooth disease, recessive intermediate C	Autosomal recessive	611101	615376	1	NA
CAMTA1|KIAA0833|CANPMR	CAMTA1|CAMTA1|NA	CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	Autosomal dominant	611501	614756	1	NA
GLC3B	GLC3B	GLC3B	Glaucoma 3, primary infantile, B	Autosomal recessive	600975	600975	1	NA
PER3|FASPS3	PER3|NA	PER3	?Advanced sleep phase syndrome, familial, 3	Autosomal dominant	603427	616882	1	mutation identified in 1 FASPS3 family
DJ1|PARK7	PARK7|PARK7	PARK7	Parkinson disease 7, autosomal recessive early-onset	Autosomal recessive	602533	606324	1	NA
ENO1|PPH|MPB1	ENO1|ENO1|ENO1	ENO1	Enolase deficiency	None	172430	NA	1	NA
H6PD|GDH|G6PDH|CORTRD1	H6PD|CRYL1,GLUD1,H6PD|NA|NA	CRYL1,GLUD1,H6PD	Cortisone reductase deficiency 1	Autosomal recessive	138090	604931	1	digenic triallelic mutations with HSD11B1
PIK3CD|APDS|IMD14	PIK3CD|NA|NA	PIK3CD	Immunodeficiency 14	Autosomal dominant	602839	615513	1	NA
NMNAT1|NMNAT|PNAT1|LCA9	NMNAT1|NMNAT1|NMNAT1|NMNAT1	NMNAT1	Leber congenital amaurosis 9	Autosomal recessive	608700	608553	1	NA
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	Neuroblastoma, susceptibility to, 1	Autosomal dominant; Isolated cases	605995	256700	1	mutation identified in 1 CMT2A1 family
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	Pheochromocytoma	Autosomal dominant	605995	171300	1	mutation identified in 1 CMT2A1 family
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	?Charcot-Marie-Tooth disease, type 2A1	Autosomal dominant	605995	118210	1	mutation identified in 1 CMT2A1 family
PEX14|PBD13A	PEX14|NA	PEX14	Peroxisome biogenesis disorder 13A (Zellweger)	None	601791	614887	1	NA
TARDBP|TDP43|ALS10	TARDBP|NA|TARDBP	TARDBP	Frontotemporal lobar degeneration, TARDBP-related	Autosomal dominant	605078	612069	1	pseudogenes on 2, 6, 8, 13, 20
TARDBP|TDP43|ALS10	TARDBP|NA|TARDBP	TARDBP	Amyotrophic lateral sclerosis 10, with or without FTD	Autosomal dominant	605078	612069	1	pseudogenes on 2, 6, 8, 13, 20
MASP2	MASP2	MASP2	MASP2 deficiency	None	605102	613791	1	NA
MTOR|FRAP1|SKS	MTOR|MTOR|NA	MTOR	Smith-Kingsmore syndrome	None	601231	616638	1	NA
UBIAD1|TERE1|SCCD	UBIAD1|UBIAD1|UBIAD1	UBIAD1	Corneal dystrophy, Schnyder type	Autosomal dominant	611632	121800	1	NA
MTHFR	MTHFR	MTHFR	Vascular disease, susceptibility to	None	607093	NA	1	NA
MTHFR	MTHFR	MTHFR	Thromboembolism, susceptibility to	Autosomal dominant	607093	188050	1	NA
MTHFR	MTHFR	MTHFR	Schizophrenia, susceptibility to	Autosomal dominant	607093	181500	1	NA
MTHFR	MTHFR	MTHFR	Neural tube defects, susceptibility to	Autosomal recessive	607093	601634	1	NA
MTHFR	MTHFR	MTHFR	Homocystinuria due to MTHFR deficiency	Autosomal recessive	607093	236250	1	NA
NPPA|PND|ANP|ATFB6|ATRST2	NPPA|NPPA|NPPA|NA|NA	NPPA	Atrial standstill 2	Autosomal recessive	108780	615745	1	NA
NPPA|PND|ANP|ATFB6|ATRST2	NPPA|NPPA|NPPA|NA|NA	NPPA	Atrial fibrillation, familial, 6	Autosomal dominant	108780	612201	1	NA
PLOD1|LH1|LLH|EDS6	PLOD1|PLOD1|PLOD1|NA	PLOD1	Ehlers-Danlos syndrome, type VI	Autosomal recessive	153454	225400	1	NA
MFN2|KIAA0214|CMT2A2|HMSN6A	MFN2|MFN2|MFN2|NA	MFN2	Hereditary motor and sensory neuropathy VIA	Autosomal dominant	608507	601152	1	NA
MFN2|KIAA0214|CMT2A2|HMSN6A	MFN2|MFN2|MFN2|NA	MFN2	Charcot-Marie-Tooth disease, type 2A2	Autosomal dominant; Autosomal recessive	608507	609260	1	NA
GBD2	GBD2	GBD2	Gallbladder disease 2	None	609918	609918	1	NA
CTRC|CLCR	CTRC|CTRC	CTRC	Pancreatitis, chronic, susceptibility to	Autosomal dominant	601405	167800	1	NA
ANIB3	ANIB3	ANIB3	Aneurysm, intracranial berry, 3	Autosomal dominant	609122	609122	1	NA
CLCNKA	CLCNKA	CLCNKA	Bartter syndrome, type 4b, digenic	Digenic recessive	602024	613090	1	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB
CLCNKB	CLCNKB	CLCNKB	Bartter syndrome, type 3	Autosomal recessive	602023	607364	1	unequal crossingover with CLCNKA
CLCNKB	CLCNKB	CLCNKB	Bartter syndrome, type 4b, digenic	Digenic recessive	602023	613090	1	unequal crossingover with CLCNKA
EPHA2|ECK|ARCC2|CTPP1|CTPA|ARCC2|CTRCT6	EPHA2|EPHA2|NA|NA|NA|NA|NA	EPHA2	Cataract 6, multiple types	Autosomal dominant	176946	116600	1	NA
ATP13A2|PARK9|KRPPD|CLN12	ATP13A2|ATP13A2|NA|ATP13A2	ATP13A2	Kufor-Rakeb syndrome	Autosomal recessive	610513	606693	1	mutation identified in 1 family with CLN12
ATP13A2|PARK9|KRPPD|CLN12	ATP13A2|ATP13A2|NA|ATP13A2	ATP13A2	?Ceroid lipofuscinosis, neuronal, 12	Autosomal recessive	610513	606693	1	mutation identified in 1 family with CLN12
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Pheochromocytoma	Autosomal dominant	185470	171300	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Paragangliomas 4	Autosomal dominant	185470	115310	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Paraganglioma and gastric stromal sarcoma	None	185470	606864	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Gastrointestinal stromal tumor	Autosomal dominant; Isolated cases	185470	606764	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Cowden syndrome 2	Autosomal dominant	185470	612359	1	1 of 2 polypeptides
PADI4|PADI5|PAD	PADI4|PADI4|DHX40,PADI4	PADI4,DHX40	Rheumatoid arthritis, susceptibility to	None	605347	180300	1	NA
PAX7|RMS2	PAX7|NA	PAX7	Rhabdomyosarcoma 2, alveolar	Autosomal recessive	167410	268220	1	fused with FKHR in rhabdomyosarcoma
ALDH4A1|ALDH4|P5CDH	ALDH4A1|ALDH4A1,ALDH9A1|NA	ALDH4A1,ALDH9A1	Hyperprolinemia, type II	Autosomal recessive	606811	239510	1	NA
EMC1|KIAA0090|CAVIPMR	EMC1|EMC1|NA	EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation	Autosomal recessive	616846	616875	1	NA
PLA2G2A|PLA2B|PLA2L|MOM1	PLA2G2A|PLA2G2A|HHLA1,OC90,PLA2G2A|NA	PLA2G2A,HHLA1,OC90	Colorectal cancer	Autosomal dominant	172411	114500	1	NA
PLA2G5|FRFB	PLA2G5|NA	PLA2G5	Fleck retina, familial benign	Autosomal recessive	601192	228980	1	NA
PINK1|PARK6	PINK1|PINK1	PINK1	Parkinson disease 6, early onset	Autosomal recessive	608309	605909	1	NA
DDOST|OST|OST48|CDG1R	DDOST|DDOST,MCF2L|DDOST|NA	DDOST,MCF2L	?Congenital disorder of glycosylation, type Ir	Autosomal recessive	602202	614507	1	mutation (cmpd het) identified in 1 CDG1R patient
ECE1	ECE1	ECE1	Hypertension, essential, susceptibility to	Multifactorial	600423	145500	1	NA
ECE1	ECE1	ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction	None	600423	613870	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Hypophosphatasia, infantile	Autosomal recessive	171760	241500	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Hypophosphatasia, childhood	Autosomal recessive	171760	241510	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Hypophosphatasia, adult	Autosomal dominant; Autosomal recessive	171760	146300	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Odontohypophosphatasia	Autosomal dominant; Autosomal recessive	171760	146300	1	NA
HSPG2|PLC|SJS|SJA|SJS1	HSPG2|NA|NA|NA|HSPG2	HSPG2	Schwartz-Jampel syndrome, type 1	Autosomal recessive	142461	255800	1	NA
HSPG2|PLC|SJS|SJA|SJS1	HSPG2|NA|NA|NA|HSPG2	HSPG2	Dyssegmental dysplasia, Silverman-Handmaker type	Autosomal recessive	142461	224410	1	NA
CDC42|TKS	CDC42|NA	CDC42	Takenouchi-Kosaki syndrome	None	116952	616737	1	NA
WNT4|SERKAL	WNT4|NA	WNT4	SERKAL syndrome	None	603490	611812	1	NA
WNT4|SERKAL	WNT4|NA	WNT4	Mullerian aplasia and hyperandrogenism	Autosomal dominant	603490	158330	1	NA
C1QA	C1QA	C1QA	C1q deficiency	Autosomal recessive	120550	613652	1	NA
C1QC|C1QG	C1QC|C1QC	C1QC	C1q deficiency	Autosomal recessive	120575	613652	1	NA
C1QB	C1QB	C1QB	C1q deficiency	Autosomal recessive	120570	613652	1	NA
EPHB2|EPHT3|DRT|ERK|PCBC|CAPB	EPHB2|EPHB2|EPHB2|EPHB2,MAPK1|NA|NA	EPHB2,MAPK1	Prostate cancer/brain cancer susceptibility, somatic	None	600997	603688	1	NA
KDM1A|LSD1|AOF2|BHC110|KIAA0601|CPRF	KDM1A|KDM1A|KDM1A|KDM1A|KDM1A|NA	KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features	None	609132	616728	1	NA
RPL11|DBA7	RPL11|NA	RPL11	Diamond-Blackfan anemia 7	None	604175	612562	1	NA
GALE	GALE	GALE	Galactose epimerase deficiency	Autosomal recessive	606953	230350	1	NA
HMGCL	HMGCL	HMGCL	HMG-CoA lyase deficiency	Autosomal recessive	613898	246450	1	NA
FUCA1	FUCA1	FUCA1	Fucosidosis	Autosomal recessive	612280	230000	1	8cM distal to RH; pseudogene on 2q31-q32
GRHL3|SOM|TFCP2L4|VWS2	GRHL3|GRHL3|GRHL3|NA	GRHL3	Van der Woude syndrome 2	Autosomal dominant	608317	606713	1	NA
RHD	RHD	RHD	Rh-negative blood type	None	111680	NA	1	NA
RHCE	RHCE	RHCE	Blood group, Rhesus	None	111700	111690	1	?order: C-E-D
RHCE	RHCE	RHCE	Rh-null disease, amorph type	None	111700	NA	1	?order: C-E-D
LDLRAP1|ARH|FHCB2|FHCB1	LDLRAP1|LDLRAP1|LDLRAP1|LDLRAP1	LDLRAP1	Hypercholesterolemia, familial, autosomal recessive	None	605747	603813	1	NA
SEPN1|SELN|RSMD1|CFTD	SEPN1|NA|SEPN1|MPFD	MPFD,SEPN1	Myopathy, congenital, with fiber-type disproportion	Autosomal dominant; Autosomal recessive	606210	255310	1	NA
SEPN1|SELN|RSMD1|CFTD	SEPN1|NA|SEPN1|MPFD	MPFD,SEPN1	Muscular dystrophy, rigid spine, 1	Autosomal recessive	606210	602771	1	NA
SLC30A2|ZNT2|TNZD	SLC30A2|SLC30A2|NA	SLC30A2	Zinc deficiency, transient neonatal	Autosomal dominant	609617	608118	1	NA
DHDDS|HDS|RP59	DHDDS|DHDDS|DHDDS	DHDDS	Retinitis pigmentosa 59	Autosomal recessive	608172	613861	1	NA
ARID1A|C1orf4|B120|SMARCF1|MRD14|CSS2	ARID1A|ARID1A|ARID1A|ARID1A|NA|CHPF	ARID1A,CHPF	Coffin-Siris syndrome 2	None	603024	614607	1	NA
PIGV|HPMRS1	PIGV|NA	PIGV	Hyperphosphatasia with mental retardation syndrome 1	Autosomal recessive	610274	239300	1	NA
NR0B2|SHP	NR0B2|NR0B2	NR0B2	Obesity, mild, early-onset	Multifactorial; Autosomal dominant; Autosomal recessive	604630	601665	1	NA
SLC9A1|NHE1|APNH|LIKNS	SLC9A1|SLC9A1|SLC9A1|NA	SLC9A1	?Lichtenstein-Knorr syndrome	Autosomal recessive	107310	616291	1	mutation identified in 1 LIKNS family
FCN3|HAKA1	FCN3|FCN3	FCN3	Immunodeficiency due to ficolin 3 deficiency	None	604973	613860	1	NA
AHDC1|MRD25	AHDC1|NA	AHDC1	Xia-Gibbs syndrome	Autosomal dominant	615790	615829	1	NA
EPB41|EL1	EPB41|EPB41	EPB41	Elliptocytosis-1	None	130500	611804	1	NA
SDC3|SYND3|SDCN	SDC3|SDC3|NA	SDC3	Obesity, association with	Multifactorial; Autosomal dominant; Autosomal recessive	186357	601665	1	NA
CCDC28B|MGC1203	CCDC28B|CCDC28B	CCDC28B	Bardet-Biedl syndrome 1, modifier of	Digenic recessive; Autosomal recessive	610162	209900	1	NA
LCK|IMD22	LCK|NA	LCK	?Immunodeficiency 22	Autosomal recessive	153390	615758	1	LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient
YARS|CMTDIC|TYRRS|YTS|YRS	YARS|NA|NA|YARS|YARS	YARS	Charcot-Marie-Tooth disease, dominant intermediate C	Autosomal dominant	603623	608323	1	NA
HPCA|DYT2	CACNA1A,HPCA|DYT2	CACNA1A,HPCA,DYT2	Dystonia 2, torsion, autosomal recessive	Autosomal recessive	142622	224500	1	NA
AK2	AK2	AK2	Reticular dysgenesis	Autosomal recessive	103020	267500	1	NA
GBD3	GBD3	GBD3	Gallbladder disease 3	None	609919	609919	1	new D2S255
GJB4|CX30.3	GJB4|GJB4	GJB4	Erythrokeratodermia variabilis with erythema gyratum repens	Autosomal dominant; Autosomal recessive	605425	133200	1	NA
GJB3|CX31|DFNA2B	GJB3|GJB3|NA	GJB3	Erythrokeratodermia variabilis et progressiva	Autosomal dominant; Autosomal recessive	603324	133200	1	same YAC as GJA4
GJB3|CX31|DFNA2B	GJB3|GJB3|NA	GJB3	Deafness, digenic, GJB2/GJB3	Autosomal recessive; Digenic dominant	603324	220290	1	same YAC as GJA4
GJB3|CX31|DFNA2B	GJB3|GJB3|NA	GJB3	Deafness, autosomal recessive	None	603324	NA	1	same YAC as GJA4
GJB3|CX31|DFNA2B	GJB3|GJB3|NA	GJB3	Deafness, autosomal dominant, with peripheral neuropathy	None	603324	NA	1	same YAC as GJA4
GJB3|CX31|DFNA2B	GJB3|GJB3|NA	GJB3	Deafness, autosomal dominant 2B	Autosomal dominant	603324	612644	1	same YAC as GJA4
COL8A2|FECD1|PPCD2	COL8A2|COL8A2|COL8A2	COL8A2	Corneal dystrophy, Fuchs endothelial, 1	Autosomal dominant	120252	136800	1	NA
COL8A2|FECD1|PPCD2	COL8A2|COL8A2|COL8A2	COL8A2	Corneal dystrophy, posterior polymorphous 2	None	120252	609140	1	NA
CSF3R|GCSFR	CSF3R|CSF3R	CSF3R	?Neutrophilia, hereditary	Autosomal dominant	138971	162830	1	mutation identified in 1 hereditary neutrophilia family
SNIP1|PMRED	SNIP1|NA	SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism	Autosomal recessive	608241	614501	1	NA
RSPO1|FLJ40906	RSPO1|RSPO1	RSPO1	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal	None	609595	610644	1	NA
RSPO1|FLJ40906	RSPO1|RSPO1	RSPO1	Palmoplantar hyperkeratosis and true hermaphroditism	None	609595	610644	1	NA
MFSD2A|MCPH15	MFSD2A|NA	MFSD2A	Microcephaly 15, primary, autosomal recessive	Autosomal recessive	614397	616486	1	NA
PPT1|CLN1	PPT1|PPT1	PPT1	Ceroid lipofuscinosis, neuronal, 1	Autosomal recessive	600722	256730	1	NA
ZMPSTE24|FACE1|STE24|MADB	ZMPSTE24|NA|ZMPSTE24|NA	ZMPSTE24	Restrictive dermopathy, lethal	Autosomal recessive	606480	275210	1	NA
ZMPSTE24|FACE1|STE24|MADB	ZMPSTE24|NA|ZMPSTE24|NA	ZMPSTE24	Mandibuloacral dysplasia with type B lipodystrophy	Autosomal recessive	606480	608612	1	NA
COL9A2|EDM2|STL5	COL9A2|COL9A2|NA	COL9A2	Epiphyseal dysplasia, multiple, 2	Autosomal dominant	120260	600204	1	mutation identified in1 STL5 family
COL9A2|EDM2|STL5	COL9A2|COL9A2|NA	COL9A2	?Stickler syndrome, type V	Autosomal recessive	120260	614284	1	mutation identified in1 STL5 family
COL9A2|EDM2|STL5	COL9A2|COL9A2|NA	COL9A2	Intervertebral disc disease, susceptibility to	None	120260	603932	1	mutation identified in1 STL5 family
KCNQ4|DFNA2A	KCNQ4|NA	KCNQ4	Deafness, autosomal dominant 2A	Autosomal dominant	603537	600101	1	NA
CTPS1|CTPS|IMD24	CTPS1|CTPS1|NA	CTPS1	Immunodeficiency 24	None	123860	615897	1	NA
CLDN19|HOMG5	CLDN19|NA	CLDN19	Hypomagnesemia 5, renal, with ocular involvement	Autosomal recessive	610036	248190	1	NA
P3H1|LEPRE1|GROS1|OI8	P3H1|P3H1|P3H1|NA	P3H1	Osteogenesis imperfecta, type VIII	Autosomal recessive	610339	610915	1	NA
ERMAP|SC|RD	ERMAP|ERMAP|DYX1,ERMAP,NELFE,PEX7,PHYH	ERMAP,DYX1,PHYH,PEX7,NELFE	Blood group, Scianna system	None	609017	111750	1	NA
ERMAP|SC|RD	ERMAP|ERMAP|DYX1,ERMAP,NELFE,PEX7,PHYH	ERMAP,DYX1,PHYH,PEX7,NELFE	Blood group, Radin	None	609017	111620	1	NA
SLC2A1|GLUT1|DYT18|PED|GLUT1DS|EIG12|DYT9|SDCHCN	SLC2A1|SLC2A1|SLC2A1|PEA15|NA|NA|NA|NA	PEA15,SLC2A1	GLUT1 deficiency syndrome 2, childhood onset	Autosomal dominant	138140	612126	1	probably in 1p33
SLC2A1|GLUT1|DYT18|PED|GLUT1DS|EIG12|DYT9|SDCHCN	SLC2A1|SLC2A1|SLC2A1|PEA15|NA|NA|NA|NA	PEA15,SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe	Autosomal dominant; Autosomal recessive	138140	606777	1	probably in 1p33
SLC2A1|GLUT1|DYT18|PED|GLUT1DS|EIG12|DYT9|SDCHCN	SLC2A1|SLC2A1|SLC2A1|PEA15|NA|NA|NA|NA	PEA15,SLC2A1	Dystonia 9	Autosomal dominant	138140	601042	1	probably in 1p33
SLC2A1|GLUT1|DYT18|PED|GLUT1DS|EIG12|DYT9|SDCHCN	SLC2A1|SLC2A1|SLC2A1|PEA15|NA|NA|NA|NA	PEA15,SLC2A1	Epilepsy, idiopathic generalized, susceptibility to, 12	Autosomal dominant	138140	614847	1	probably in 1p33
SLC2A1|GLUT1|DYT18|PED|GLUT1DS|EIG12|DYT9|SDCHCN	SLC2A1|SLC2A1|SLC2A1|PEA15|NA|NA|NA|NA	PEA15,SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects	Autosomal dominant	138140	608885	1	probably in 1p33
MPL|TPOR|MPLV|THCYT2	MPL|MPL|NA|NA	MPL	Thrombocytopenia, congenital amegakaryocytic	Autosomal recessive	159530	604498	1	NA
MPL|TPOR|MPLV|THCYT2	MPL|MPL|NA|NA	MPL	Thrombocythemia 2	Somatic mutation; Autosomal dominant	159530	601977	1	NA
MPL|TPOR|MPLV|THCYT2	MPL|MPL|NA|NA	MPL	Myelofibrosis with myeloid metaplasia, somatic	None	159530	254450	1	NA
SZT2|KIAA0467|EIEE18	SZT2|SZT2|NA	SZT2	Epileptic encephalopathy, early infantile, 18	Autosomal recessive	615463	615476	1	NA
PTPRF|LAR|BNAH2	PTPRF|PTPRF|NA	PTPRF	?Breasts and/or nipples, aplasia or hypoplasia of, 2	Autosomal recessive	179590	616001	1	mutation identified in 1 BNAH2 family
PTOS1	PTOS1	PTOS1	Ptosis, hereditary congenital, 1	Autosomal dominant	178300	178300	1	NA
ST3GAL3|SIAT6|ST3GALII|MRT12|EIEE15	ST3GAL3|ST3GAL3|ST3GAL2|ST3GAL3|NA	ST3GAL3,ST3GAL2	Mental retardation, autosomal recessive 12	None	606494	611090	1	NA
ST3GAL3|SIAT6|ST3GALII|MRT12|EIEE15	ST3GAL3|ST3GAL3|ST3GAL2|ST3GAL3|NA	ST3GAL3,ST3GAL2	Epileptic encephalopathy, early infantile, 15	Autosomal recessive	606494	615006	1	NA
PTCH2	PTCH2	PTCH2	Medulloblastoma	Autosomal dominant	603673	155255	1	NA
PTCH2	PTCH2	PTCH2	Basal cell nevus syndrome	Autosomal dominant	603673	109400	1	NA
PTCH2	PTCH2	PTCH2	Basal cell carcinoma, somatic	None	603673	605462	1	NA
EIF2B3	EIF2B3	EIF2B3	Leukoencephalopathy with vanishing white matter	Autosomal recessive	606273	603896	1	NA
UROD	UROD	UROD	Porphyria, hepatoerythropoietic	Autosomal dominant	613521	176100	1	NA
UROD	UROD	UROD	Porphyria cutanea tarda	Autosomal dominant	613521	176100	1	NA
MUTYH|MYH	MUTYH|MUTYH	MUTYH	Adenomas, multiple colorectal	None	604933	608456	1	NA
MUTYH|MYH	MUTYH|MUTYH	MUTYH	Gastric cancer, somatic	None	604933	613659	1	NA
MUTYH|MYH	MUTYH|MUTYH	MUTYH	Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas	Somatic mutation	604933	132600	1	NA
MMACHC	MMACHC	MMACHC	Methylmalonic aciduria and homocystinuria, cblC type	Autosomal recessive	609831	277400	1	NA
POMGNT1|MEB|MDDGA3|MDDGB3|MDDGC3	POMGNT1|POMGNT1|NA|NA|NA	POMGNT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3	Autosomal recessive	606822	613157	1	NA
POMGNT1|MEB|MDDGA3|MDDGB3|MDDGC3	POMGNT1|POMGNT1|NA|NA|NA	POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3	Autosomal recessive	606822	613151	1	NA
POMGNT1|MEB|MDDGA3|MDDGB3|MDDGC3	POMGNT1|POMGNT1|NA|NA|NA	POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	Autosomal recessive	606822	253280	1	NA
RAD54L|HR54|HRAD54	RAD54L|NA|NA	RAD54L	Adenocarcinoma, colonic, somatic	None	603615	NA	1	NA
RAD54L|HR54|HRAD54	RAD54L|NA|NA	RAD54L	Breast cancer, invasive ductal	Autosomal dominant	603615	114480	1	NA
RAD54L|HR54|HRAD54	RAD54L|NA|NA	RAD54L	Lymphoma, non-Hodgkin, somatic	None	603615	605027	1	NA
